,Value
454,800
455,800
456,800
457,800
458,800
459,1000
460,1000
461,1000
462,1000
463,3000
464,3000
465,2000
466,2000
467,2000
468,2000
469,2000
470,2000
471,2000
472,2000
473,2000
475,200
476,200
477,200
478,200
479,200
480,200
481,400
482,3000
483,400
484,400
485,400
486,400
487,600
488,600
489,600
490,600
491,600
492,600
493,800
494,800
495,800
496,800
497,800
498,800
499,1000
500,1000
501,1000
502,1000
503,1000
504,1000
505,400
506,400
507,400
508,400
509,400
510,400
511,800
512,800
513,800
514,800
515,800
516,800
517,1000
518,1000
519,1000
520,1000
521,1000
522,4000
523,2000
524,2000
525,2000
526,2000
527,2000
528,2000
529,2000
530,2000
531,2000
532,2000
533,1000
534,2000
536,100
537,100
538,100
539,100
540,100
541,100
542,200
543,200
544,200
545,200
546,2000
547,200
548,300
549,300
550,300
551,300
552,300
553,300
554,400
555,400
556,400
557,400
558,400
559,400
560,500
561,500
562,500
563,500
564,500
565,500
566,200
567,200
568,200
569,200
570,200
571,200
572,400
573,400
574,400
575,400
576,400
577,400
578,600
579,600
580,600
581,2000
582,600
583,600
584,800
585,2000
586,800
587,800
588,800
589,1000
590,1000
591,1000
592,1000
593,1000
595,200
596,200
597,200
598,200
599,200
600,200
601,400
602,400
603,400
604,400
605,400
606,400
607,600
608,600
609,600
610,600
611,600
612,600
613,800
614,800
615,800
616,800
617,800
618,800
619,1000
620,2000
621,1000
622,1000
623,1000
624,1000
625,400
626,400
627,400
628,400
629,400
630,400
631,800
632,800
633,800
634,800
635,800
636,800
637,1000
638,1000
639,3000
640,1000
641,1000
642,1000
643,2000
644,2000
645,2000
646,2000
647,2000
648,2000
649,2000
650,2000
651,2000
652,2000
653,2000
654,2000
656,100
657,100
658,100
659,100
660,100
661,100
662,200
663,200
664,200
665,200
666,200
667,200
668,300
669,300
670,300
671,300
672,300
673,300
674,400
675,2000
676,400
677,400
678,400
679,400
680,500
681,500
682,500
683,500
684,500
685,500
686,200
687,200
688,200
689,200
690,200
691,200
692,400
693,400
694,400
695,400
696,400
697,400
698,600
699,600
700,600
701,600
702,600
703,600
704,800
705,800
706,2000
707,800
708,800
709,800
710,2000
711,1000
712,1000
713,1000
714,1000
715,1000
717,200
718,200
719,200
720,200
721,200
722,200
723,400
724,400
725,400
726,400
727,400
728,400
729,600
730,600
731,600
732,600
733,600
734,600
735,800
736,800
737,800
738,800
739,800
740,800
741,1000
742,1000
743,2000
744,1000
745,1000
746,1000
747,400
748,400
749,400
750,400
751,400
752,400
753,800
754,800
755,800
756,800
757,800
758,800
759,1000
760,1000
761,1000
762,1000
763,1000
764,1000
765,2000
766,2000
767,2000
768,2000
769,2000
770,2000
771,2000
772,2000
773,2000
774,2000
775,2000
776,2000
778,200
779,200
780,200
781,200
782,200
783,200
784,400
785,400
786,400
787,400
788,400
789,400
790,600
791,600
792,600
793,600
794,600
795,600
796,800
797,800
798,800
799,800
800,800
801,800
802,1000
803,1000
804,1000
805,1000
806,1000
807,1000
808,400
809,400
810,400
811,400
812,400
813,400
814,800
815,800
816,2000
817,800
818,7000
819,800
820,1000
821,1000
822,1000
823,1000
824,1000
825,1000
826,2000
827,2000
828,2000
829,2000
830,2000
831,2000
832,2000
833,2000
834,2000
835,2000
837,200
838,200
839,200
840,200
841,200
842,400
843,400
844,400
845,400
846,400
847,600
848,600
849,1000
850,600
851,800
852,800
853,800
854,800
855,1000
856,1000
857,1000
858,1000
859,400
860,400
861,400
862,400
863,400
864,400
865,800
866,800
867,800
868,800
869,800
870,800
871,1000
872,1000
873,1000
874,1000
875,1000
876,2000
877,2000
878,2000
879,2000
880,2000
881,2000
882,2000
883,2000
884,2000
885,2000
887,100
888,100
889,100
890,100
891,100
892,100
893,200
894,200
895,200
896,200
897,200
898,200
899,300
900,300
901,300
902,300
903,300
904,300
905,400
906,400
907,400
908,400
909,400
910,400
911,2000
912,500
913,500
914,500
915,500
916,500
917,200
918,200
919,200
920,200
921,200
922,200
923,400
924,400
925,400
926,400
927,400
928,400
929,2000
930,600
931,600
932,600
933,600
934,600
935,800
936,800
937,2000
938,800
939,800
940,1000
941,1000
942,1000
943,1000
944,1000
946,100
947,100
948,100
949,100
950,100
951,100
952,200
953,200
954,200
955,200
956,200
957,200
958,500
959,300
960,300
961,300
962,300
963,300
964,400
965,400
966,400
967,400
968,400
969,400
970,500
971,500
972,500
973,500
974,500
975,500
976,200
977,200
978,200
979,200
980,200
981,400
982,400
983,400
984,400
985,400
986,600
987,600
988,600
989,2000
990,600
991,600
992,800
993,800
994,800
995,800
996,500
997,1000
998,1000
999,1000
1000,1000
1001,1000
1002,1000
1004,100
1005,100
1006,100
1007,100
1008,100
1009,100
1010,200
1011,200
1012,200
1013,200
1014,200
1015,200
1016,300
1017,300
1018,300
1019,300
1020,300
1021,300
1022,400
1023,500
1024,400
1025,400
1026,400
1027,400
1028,500
1029,500
1030,500
1031,500
1032,500
1033,500
1034,200
1035,200
1036,200
1037,200
1038,200
1039,200
1040,400
1041,400
1042,400
1043,400
1044,400
1045,400
1046,800
1047,600
1048,600
1049,600
1050,600
1051,600
1052,800
1053,800
1054,800
1055,800
1056,800
1057,800
1058,1000
1059,1000
1060,1000
1061,1000
1062,1000
1063,1000
1065,200
1066,200
1067,200
1068,200
1069,200
1070,200
1071,400
1072,400
1073,400
1074,400
1075,400
1076,400
1077,600
1078,600
1079,600
1080,600
1081,600
1082,600
1083,800
1084,800
1085,800
1086,800
1087,2000
1088,800
1089,1000
1090,1000
1091,1000
1092,1000
1093,1000
1094,1000
1095,400
1096,400
1097,400
1098,400
1099,400
1100,400
1101,800
1102,800
1103,800
1104,800
1105,800
1106,800
1107,1000
1108,1000
1109,1000
1110,1000
1111,1000
1112,1000
1113,2000
1114,2000
1115,1000
1116,2000
1117,2000
1118,2000
1119,2000
1120,2000
1121,2000
1122,4000
1123,2000
1124,2000
1126,100
1127,100
1128,100
1129,100
1130,100
1131,100
1132,200
1133,200
1134,200
1135,200
1136,200
1137,200
1138,300
1139,300
1140,300
1141,300
1142,300
1143,300
1144,400
1145,400
1146,400
1147,400
1148,400
1149,400
1150,500
1151,500
1152,500
1153,500
1154,500
1155,500
1156,200
1157,200
1158,200
1159,200
1160,200
1161,200
1162,400
1163,400
1164,400
1165,400
1166,400
1167,2000
1168,600
1169,600
1170,3000
1171,600
1172,600
1173,600
1174,800
1175,800
1176,800
1177,800
1178,800
1179,800
1180,1000
1181,1000
1182,1000
1183,1000
1184,1000
1185,1000
1187,100
1188,100
1189,100
1190,100
1191,100
1192,100
1193,200
1194,200
1195,200
1196,200
1197,200
1198,200
1199,300
1200,300
1201,300
1202,300
1203,300
1204,300
1205,400
1206,400
1207,400
1208,400
1209,400
1210,400
1211,500
1212,500
1213,500
1214,500
1215,500
1216,500
1217,200
1218,200
1219,200
1220,200
1221,200
1222,200
1223,400
1224,400
1225,400
1226,400
1227,400
1228,400
1229,600
1230,600
1231,600
1232,700
1233,600
1234,600
1235,800
1236,800
1237,800
1238,800
1239,800
1240,800
1241,1000
1242,800
1243,1000
1244,1000
1245,1000
1246,1000
1248,200
1249,200
1250,200
1251,200
1252,200
1253,200
1254,400
1255,400
1256,400
1257,400
1258,400
1259,400
1260,600
1261,600
1262,600
1263,600
1264,600
1265,1000
1266,800
1267,800
1268,800
1269,800
1270,800
1271,800
1272,1000
1273,1000
1274,1000
1275,1000
1276,1000
1277,1000
1278,400
1279,400
1280,400
1281,400
1282,400
1283,400
1284,800
1285,800
1286,800
1287,800
1288,800
1289,800
1290,1000
1291,1000
1292,1000
1293,3000
1294,1000
1295,1000
1296,2000
1297,2000
1298,3000
1299,2000
1300,2000
1301,2000
1302,2000
1303,2000
1304,2000
1305,2000
1306,2000
1307,2000
1309,100
1310,100
1311,100
1312,100
1313,100
1314,100
1315,200
1316,200
1317,200
1318,200
1319,200
1320,200
1321,300
1322,300
1323,300
1324,300
1325,300
1326,300
1327,500
1328,400
1329,400
1330,400
1331,400
1332,400
1333,500
1334,500
1335,500
1336,500
1337,500
1338,500
1339,200
1340,200
1341,200
1342,200
1343,200
1344,200
1345,400
1346,400
1347,400
1348,400
1349,400
1350,400
1351,600
1352,600
1353,2000
1354,600
1355,600
1356,2000
1357,800
1358,800
1359,800
1360,800
1361,800
1362,800
1363,1000
1364,1000
1365,1000
1366,1000
1367,1000
1368,1000
1370,100
1371,100
1372,100
1373,100
1374,100
1375,100
1376,200
1377,200
1378,200
1379,200
1380,200
1381,200
1382,300
1383,300
1384,300
1385,300
1386,300
1387,300
1388,400
1389,400
1390,400
1391,400
1392,400
1393,400
1394,1000
1395,500
1396,500
1397,500
1398,500
1399,500
1400,200
1401,200
1402,200
1403,200
1404,200
1405,400
1406,400
1407,400
1408,400
1409,400
1410,400
1411,1000
1412,600
1413,600
1414,600
1415,600
1416,800
1417,800
1418,800
1419,1000
1420,800
1421,1000
1422,1000
1423,1000
1424,1000
1425,1000
1427,200
1428,200
1429,200
1430,200
1431,200
1432,200
1433,400
1434,400
1435,400
1436,400
1437,400
1438,400
1439,600
1440,600
1441,600
1442,600
1443,600
1444,600
1445,800
1446,800
1447,800
1448,800
1449,800
1450,800
1451,1000
1452,1000
1453,1000
1454,1000
1455,1000
1456,2000
1457,400
1458,400
1459,400
1460,400
1461,400
1462,400
1463,800
1464,800
1465,800
1466,800
1467,800
1468,800
1469,1000
1470,1000
1471,1000
1472,2000
1473,1000
1474,1000
1475,2000
1476,2000
1477,2000
1478,2000
1479,2000
1480,2000
1481,2000
1482,2000
1483,2000
1484,2000
1485,2000
1486,2000
1488,200
1489,200
1490,200
1491,200
1492,200
1493,200
1494,400
1495,400
1496,400
1497,400
1498,400
1499,400
1500,1000
1501,600
1502,600
1503,600
1504,600
1505,600
1506,800
1507,800
1508,800
1509,800
1510,800
1511,800
1512,1000
1513,1000
1514,1000
1515,1000
1516,1000
1517,1000
1518,400
1519,400
1520,400
1521,400
1522,400
1523,400
1524,800
1525,800
1526,800
1527,800
1528,800
1529,800
1530,1000
1531,1000
1532,1000
1533,1000
1534,1000
1535,1000
1536,2000
1537,3000
1538,2000
1539,2000
1540,2000
1541,2000
1542,2000
1543,2000
1544,2000
1545,3000
1546,2000
1547,2000
1549,200
1550,200
1551,200
1552,200
1553,200
1554,200
1555,400
1556,400
1557,400
1558,400
1559,400
1560,400
1561,600
1562,600
1563,600
1564,600
1565,600
1566,600
1567,800
1568,800
1569,800
1570,800
1571,800
1572,800
1573,1000
1574,1000
1575,400
1576,1000
1577,1000
1578,1000
1579,400
1580,400
1581,400
1582,400
1583,400
1584,400
1585,800
1586,800
1587,800
1588,800
1589,800
1590,800
1591,800
1592,1000
1593,1000
1594,1000
1595,1000
1596,1000
1597,2000
1598,2000
1599,2000
1600,2000
1601,2000
1602,2000
1603,2000
1604,2000
1605,2000
1606,2000
1607,2000
1608,2000
1610,200
1611,200
1612,200
1613,200
1614,200
1615,200
1616,400
1617,400
1618,400
1619,400
1620,400
1621,400
1622,600
1623,600
1624,600
1625,600
1626,600
1627,600
1628,800
1629,800
1630,800
1631,800
1632,800
1633,800
1634,1000
1635,1000
1636,2000
1637,1000
1638,1000
1639,1000
1640,400
1641,400
1642,400
1643,400
1644,400
1645,400
1646,5000
1647,800
1648,800
1649,800
1650,800
1651,800
1652,1000
1653,1000
1654,3000
1655,1000
1656,1000
1657,1000
1658,2000
1659,2000
1660,2000
1661,2000
1662,2000
1663,2000
1664,2000
1665,2000
1666,2000
1667,2000
1668,2000
1669,2000
1671,200
1672,200
1673,200
1674,200
1675,200
1676,200
1677,400
1678,400
1679,400
1680,400
1681,400
1682,400
1683,600
1684,600
1685,600
1686,600
1687,1000
1688,600
1689,800
1690,800
1691,800
1692,800
1693,800
1694,800
1695,1000
1696,1000
1697,1000
1698,1000
1699,1000
1700,1000
1701,400
1702,400
1703,400
1704,400
1705,400
1706,400
1707,800
1708,2000
1709,800
1710,800
1711,800
1712,800
1713,1000
1714,1000
1715,1000
1716,1000
1717,1000
1718,1000
1719,2000
1720,2000
1721,2000
1722,2000
1723,2000
1724,2000
1725,8000
1726,2000
1727,2000
1728,2000
1729,2000
1730,2000
1732,200
1733,200
1734,200
1735,200
1736,200
1737,200
1738,400
1739,400
1740,400
1741,400
1742,400
1743,400
1744,600
1745,600
1746,600
1747,600
1748,1000
1749,600
1750,800
1751,800
1752,800
1753,800
1754,800
1755,800
1756,1000
1757,1000
1758,1000
1759,1000
1760,1000
1761,1000
1762,400
1763,400
1764,400
1765,400
1766,400
1767,400
1768,6000
1769,800
1770,800
1771,800
1772,800
1773,800
1774,1000
1775,1000
1776,1000
1777,1000
1778,1000
1779,1000
1780,2000
1781,2000
1782,2000
1783,2000
1784,2000
1785,2000
1786,2000
1787,2000
1788,2000
1789,800
1790,2000
1791,2000
1793,100
1794,100
1795,100
1796,100
1797,100
1798,100
1799,200
1800,200
1801,200
1802,200
1803,200
1804,200
1805,300
1806,300
1807,200
1808,300
1809,300
1810,300
1811,400
1812,400
1813,400
1814,400
1815,400
1816,400
1817,500
1818,500
1819,500
1820,500
1821,500
1822,500
1823,200
1824,200
1825,200
1826,200
1827,200
1828,200
1829,400
1830,400
1831,400
1832,400
1833,400
1834,400
1835,800
1836,600
1837,600
1838,600
1839,600
1840,600
1841,800
1842,800
1843,800
1844,800
1845,800
1846,800
1847,1000
1848,1000
1849,2000
1850,1000
1851,1000
1852,1000
1854,100
1855,100
1856,100
1857,100
1858,100
1859,100
1860,200
1861,200
1862,200
1863,200
1864,200
1865,200
1866,300
1867,300
1868,300
1869,300
1870,300
1871,300
1872,700
1873,400
1874,400
1875,400
1876,400
1877,400
1878,500
1879,500
1880,500
1881,500
1882,500
1883,500
1884,200
1885,200
1886,200
1887,200
1888,200
1889,200
1890,400
1891,400
1892,400
1893,400
1894,400
1895,400
1896,600
1897,2000
1898,600
1899,600
1900,600
1901,600
1902,800
1903,800
1904,800
1905,500
1906,800
1907,800
1908,1000
1909,1000
1910,1000
1911,1000
1912,1000
1913,1000
1915,200
1916,200
1917,200
1918,200
1919,200
1920,200
1921,400
1922,400
1923,400
1924,400
1925,400
1926,400
1927,600
1928,600
1929,600
1930,1000
1931,600
1932,600
1933,800
1934,800
1935,800
1936,800
1937,800
1938,800
1939,1000
1940,1000
1941,1000
1942,1000
1943,1000
1944,1000
1945,400
1946,400
1947,400
1948,400
1949,400
1950,400
1951,800
1952,800
1953,800
1954,800
1955,800
1956,2000
1957,1000
1958,1000
1959,1000
1960,1000
1961,2000
1962,2000
1963,2000
1964,2000
1965,2000
1966,2000
1967,2000
1968,2000
1969,2000
1970,2000
1971,2000
1972,2000
1973,2000
1975,100
1976,100
1977,100
1978,100
1979,100
1980,100
1981,200
1982,200
1983,200
1984,200
1985,200
1986,200
1987,300
1988,300
1989,300
1990,300
1991,1000
1992,300
1993,400
1994,400
1995,400
1996,400
1997,400
1998,500
1999,500
2000,500
2001,500
2002,500
2003,200
2004,200
2005,200
2006,200
2007,200
2008,200
2009,400
2010,400
2011,400
2012,400
2013,400
2014,600
2015,600
2016,1000
2017,600
2018,800
2019,800
2020,800
2021,800
2022,800
2023,1000
2024,500
2025,1000
2026,1000
2027,1000
2029,100
2030,100
2031,100
2032,100
2033,100
2034,100
2035,200
2036,200
2037,200
2038,200
2039,200
2040,200
2041,300
2042,300
2043,300
2044,300
2045,300
2046,300
2047,400
2048,400
2049,400
2050,400
2051,400
2052,400
2053,500
2054,500
2055,1000
2056,500
2057,500
2058,500
2059,200
2060,200
2061,200
2062,200
2063,200
2064,200
2065,400
2066,400
2067,400
2068,400
2069,400
2070,400
2071,1000
2072,600
2073,600
2074,600
2075,600
2076,600
2077,800
2078,800
2079,800
2080,800
2081,800
2082,800
2083,1000
2084,1000
2085,1000
2086,1000
2087,2000
2088,1000
2090,200
2091,200
2092,200
2093,200
2094,400
2095,400
2096,400
2097,400
2098,400
2099,400
2100,600
2101,600
2102,600
2103,600
2104,2000
2105,600
2106,800
2107,800
2108,800
2109,800
2110,800
2111,800
2112,1000
2113,1000
2114,1000
2115,1000
2116,1000
2117,1000
2118,400
2119,400
2120,400
2121,400
2122,800
2123,800
2124,800
2125,800
2126,800
2127,800
2128,1000
2129,1000
2130,1000
2131,1000
2132,1000
2133,4000
2134,2000
2135,2000
2136,2000
2137,2000
2138,2000
2139,2000
2140,10000
2141,2000
2142,2000
2143,2000
2144,2000
2145,2000
2147,100
2148,100
2149,100
2150,100
2151,100
2152,100
2153,200
2154,200
2155,200
2156,200
2157,200
2158,200
2159,300
2160,300
2161,300
2162,300
2163,300
2164,300
2165,400
2166,400
2167,400
2168,400
2169,400
2170,500
2171,500
2172,500
2173,500
2174,200
2175,200
2176,200
2177,200
2178,200
2179,200
2180,400
2181,400
2182,400
2183,400
2184,400
2185,400
2186,600
2187,600
2188,600
2189,600
2190,600
2191,600
2192,800
2193,800
2194,800
2195,800
2196,800
2197,500
2198,1000
2199,1000
2200,1000
2202,200
2203,200
2204,200
2205,200
2206,200
2207,200
2208,400
2209,400
2210,400
2211,400
2212,400
2213,400
2214,600
2215,1000
2216,600
2217,600
2218,600
2219,600
2220,800
2221,800
2222,800
2223,800
2224,800
2225,800
2226,1000
2227,1000
2228,1000
2229,1000
2230,1000
2231,1000
2232,400
2233,400
2234,400
2235,400
2236,400
2237,400
2238,800
2239,800
2240,800
2241,800
2242,800
2243,800
2244,4000
2245,1000
2246,1000
2247,1000
2248,1000
2249,1000
2250,2000
2251,2000
2252,2000
2253,2000
2254,2000
2255,2000
2256,2000
2257,2000
2258,2000
2259,2000
2260,2000
2261,2000
2263,200
2264,200
2265,200
2266,200
2267,200
2268,200
2269,400
2270,400
2271,400
2272,400
2273,400
2274,400
2275,600
2276,600
2277,600
2278,600
2279,600
2280,600
2281,800
2282,800
2283,800
2284,800
2285,800
2286,800
2287,1000
2288,1000
2289,1000
2290,1000
2291,800
2292,1000
2293,400
2294,400
2295,400
2296,400
2297,400
2298,400
2299,800
2300,800
2301,800
2302,800
2303,800
2304,800
2305,1000
2306,1000
2307,1000
2308,1000
2309,1000
2310,1000
2311,2000
2312,2000
2313,3000
2314,2000
2315,2000
2316,2000
2317,2000
2318,2000
2319,2000
2320,2000
2321,2000
2322,2000
2324,200
2325,200
2326,200
2327,200
2328,200
2329,200
2330,400
2331,400
2332,400
2333,400
2334,400
2335,400
2336,600
2337,600
2338,600
2339,600
2340,600
2341,600
2342,800
2343,800
2344,600
2345,800
2346,800
2347,800
2348,1000
2349,1000
2350,1000
2351,1000
2352,1000
2353,1000
2354,400
2355,400
2356,400
2357,400
2358,400
2359,400
2360,800
2361,800
2362,800
2363,800
2364,6000
2365,800
2366,1000
2367,1000
2368,1000
2369,1000
2370,1000
2371,10000
2372,2000
2373,2000
2374,2000
2375,2000
2376,2000
2377,2000
2378,2000
2379,2000
2380,2000
2381,2000
2382,2000
2384,100
2385,100
2386,100
2387,100
2388,100
2389,100
2390,200
2391,200
2392,200
2393,200
2394,200
2395,200
2396,300
2397,300
2398,300
2399,300
2400,300
2401,300
2402,400
2403,400
2404,400
2405,400
2406,400
2407,400
2408,500
2409,500
2410,500
2411,500
2412,500
2413,500
2414,200
2415,200
2416,200
2417,200
2418,200
2419,200
2420,400
2421,400
2422,400
2423,400
2424,400
2425,400
2426,600
2427,600
2428,600
2429,600
2430,600
2431,600
2432,800
2433,800
2434,800
2435,800
2436,800
2437,800
2438,2000
2439,1000
2440,1000
2441,1000
2442,1000
2444,200
2445,200
2446,200
2447,200
2448,200
2449,200
2450,400
2451,400
2452,400
2453,400
2454,400
2455,400
2456,600
2457,600
2458,600
2459,600
2460,600
2461,600
2462,800
2463,800
2464,2000
2465,800
2466,800
2467,800
2468,1000
2469,1000
2470,1000
2471,1000
2472,1000
2473,1000
2474,400
2475,400
2476,400
2477,400
2478,400
2479,400
2480,800
2481,800
2482,800
2483,800
2484,800
2485,800
2486,1000
2487,1000
2488,1000
2489,1000
2490,1000
2491,1000
2492,2000
2493,2000
2494,2000
2495,2000
2496,2000
2497,2000
2498,2000
2499,2000
2500,2000
2501,2000
2503,200
2504,200
2505,200
2506,200
2507,200
2508,200
2509,400
2510,400
2511,400
2512,400
2513,400
2514,400
2515,600
2516,600
2517,600
2518,600
2519,600
2520,600
2521,800
2522,800
2523,800
2524,800
2525,800
2526,800
2527,1000
2528,1000
2529,1000
2530,1000
2531,5000
2532,1000
2533,400
2534,400
2535,400
2536,400
2537,400
2538,400
2539,800
2540,800
2541,800
2542,800
2543,800
2544,4000
2545,4000
2546,1000
2547,1000
2548,1000
2549,1000
2550,1000
2551,2000
2552,2000
2553,2000
2554,2000
2555,2000
2556,2000
2557,2000
2558,2000
2559,2000
2560,2000
2561,2000
2562,2000
2564,200
2565,200
2566,200
2567,200
2568,200
2569,200
2570,400
2571,400
2572,400
2573,400
2574,400
2575,400
2576,600
2577,600
2578,600
2579,600
2580,600
2581,600
2582,800
2583,800
2584,800
2585,800
2586,800
2587,800
2588,1000
2589,1000
2590,1000
2591,1000
2592,1000
2593,1000
2594,400
2595,400
2596,400
2597,400
2598,400
2599,400
2600,800
2601,800
2602,800
2603,800
2604,800
2605,800
2606,1000
2607,1000
2608,1000
2609,1000
2610,1000
2611,2000
2612,2000
2613,2000
2614,2000
2615,400
2616,2000
2617,2000
2618,2000
2619,2000
2620,1000
2621,2000
2623,200
2624,200
2625,200
2626,200
2627,200
2628,200
2629,400
2630,400
2631,400
2632,400
2633,400
2634,400
2635,1000
2636,600
2637,600
2638,600
2639,600
2640,600
2641,800
2642,800
2643,800
2644,800
2645,800
2646,800
2647,1000
2648,1000
2649,1000
2650,1000
2651,1000
2652,1000
2653,400
2654,400
2655,400
2656,400
2657,400
2658,400
2659,800
2660,800
2661,800
2662,800
2663,800
2664,800
2665,1000
2666,1000
2667,1000
2668,1000
2669,1000
2670,1000
2671,2000
2672,2000
2673,2000
2674,2000
2675,2000
2676,2000
2677,2000
2678,2000
2679,2000
2680,2000
2681,2000
2682,4000
2684,200
2685,200
2686,200
2687,200
2688,200
2689,200
2690,400
2691,400
2692,400
2693,400
2694,400
2695,400
2696,600
2697,600
2698,2000
2699,600
2700,600
2701,600
2702,800
2703,800
2704,800
2705,800
2706,800
2707,800
2708,1000
2709,1000
2710,1000
2711,1000
2712,1000
2713,1000
2714,400
2715,400
2716,400
2717,400
2718,400
2719,400
2720,800
2721,800
2722,800
2723,800
2724,800
2725,800
2726,1000
2727,1000
2728,1000
2729,1000
2730,7000
2731,1000
2732,2000
2733,2000
2734,2000
2735,2000
2736,2000
2737,2000
2738,2000
2739,7000
2740,2000
2741,2000
2743,100
2744,100
2745,100
2746,100
2747,100
2748,100
2749,200
2750,200
2751,200
2752,200
2753,200
2754,200
2755,300
2756,300
2757,300
2758,300
2759,300
2760,300
2761,400
2762,400
2763,400
2764,400
2765,400
2766,400
2767,500
2768,1000
2769,500
2770,500
2771,500
2772,500
2773,200
2774,200
2775,200
2776,200
2777,200
2778,200
2779,400
2780,1000
2781,400
2782,400
2783,400
2784,400
2785,600
2786,600
2787,600
2788,600
2789,600
2790,600
2791,800
2792,800
2793,800
2794,2000
2795,800
2796,800
2797,1000
2798,1000
2799,1000
2800,1000
2802,100
2803,100
2804,100
2805,100
2806,100
2807,100
2808,200
2809,200
2810,200
2811,200
2812,200
2813,200
2814,300
2815,300
2816,300
2817,300
2818,300
2819,400
2820,1000
2821,400
2822,400
2823,400
2824,500
2825,500
2826,500
2827,500
2828,500
2829,200
2830,200
2831,200
2832,200
2833,200
2834,400
2835,400
2836,400
2837,400
2838,400
2839,600
2840,600
2841,600
2842,600
2843,600
2844,600
2845,800
2846,800
2847,800
2848,1000
2849,800
2850,1000
2851,1000
2852,1000
2853,1000
2854,1000
2855,1000
2857,100
2858,100
2859,100
2860,100
2861,100
2862,100
2863,200
2864,200
2865,200
2866,200
2867,200
2868,200
2869,300
2870,300
2871,300
2872,300
2873,300
2874,300
2875,400
2876,400
2877,400
2878,400
2879,400
2880,400
2881,500
