,Value
360,400
361,2000
362,200
363,200
364,400
365,400
366,1000
367,400
368,400
369,400
370,1000
371,400
372,1000
373,800
374,1000
375,400
376,200
377,400
378,3000
379,1000
380,600
381,400
382,1000
383,800
384,2000
385,300
386,100
387,100
388,400
389,800
390,1000
391,800
392,100
393,600
394,2000
395,2000
396,600
397,2000
398,2000
399,100
400,2000
401,500
402,800
403,1000
404,2000
405,600
406,400
407,400
408,300
409,1000
410,100
411,400
412,600
413,400
414,400
415,800
416,100
417,400
418,800
419,600
420,300
421,500
422,400
423,1000
424,400
425,800
426,1000
427,400
428,800
429,1000
430,800
431,800
432,800
433,400
434,200
435,200
436,400
437,2000
438,200
439,400
440,1000
441,2000
442,2000
443,300
444,100
445,1000
446,400
447,1000
448,400
449,200
450,100
451,500
452,600
453,1000
454,300
455,400
456,800
457,400
458,1000
459,400
460,100
461,2000
462,800
463,400
464,2000
465,800
466,100
467,1000
468,3000
469,2000
470,2000
471,400
472,400
473,200
474,200
475,200
476,200
477,2000
478,500
479,500
480,500
481,2000
482,200
483,1000
484,6000
485,400
486,600
487,400
488,1000
489,400
490,1000
491,200
492,1000
493,200
494,400
495,200
496,400
497,800
498,200
499,2000
500,1000
501,2000
502,1000
503,400
504,800
505,400
506,2000
507,200
508,400
509,600
510,1000
511,400
512,500
513,400
514,600
515,200
516,600
517,800
518,1000
519,300
520,1000
521,600
522,600
523,100
524,800
525,1000
526,400
527,1000
528,5000
529,800
530,1000
531,800
532,200
533,200
534,800
535,500
536,200
537,500
538,200
539,2000
540,800
541,400
542,400
543,200
544,400
545,2000
546,500
547,200
548,2000
549,200
550,500
551,2000
552,300
553,200
554,200
555,600
556,600
557,2000
558,700
559,800
560,400
561,2000
562,100
563,2000
564,800
565,1000
566,400
567,400
568,600
569,800
570,1000
571,500
572,800
573,200
574,600
575,800
576,2000
577,2000
578,200
579,400
580,400
581,400
582,600
583,1000
584,2000
585,600
586,1000
587,300
588,600
589,800
590,400
591,1000
592,800
593,200
594,1000
595,800
596,400
597,2000
598,5000
599,400
600,2000
601,600
602,800
603,1000
604,2000
605,200
606,400
607,600
608,1000
609,1000
610,400
611,100
612,800
613,2000
614,400
615,200
616,1000
617,1000
618,100
619,1000
620,400
621,400
622,800
623,400
624,300
625,200
626,100
627,400
628,400
629,600
630,1000
631,400
632,2000
633,200
634,200
635,400
636,800
637,1000
638,2000
639,200
640,200
641,600
642,100
643,400
644,400
645,2000
646,200
647,200
648,200
649,600
650,800
651,100
652,8000
653,2000
654,800
655,2000
656,2000
657,200
658,500
659,2000
660,600
661,1000
662,400
663,100
664,1000
665,2000
666,800
667,600
668,1000
669,1000
670,600
671,2000
672,500
673,1000
674,100
675,800
676,600
677,2000
678,1000
679,800
680,800
681,2000
682,2000
683,800
684,600
685,400
686,300
687,1000
688,800
689,800
690,400
691,800
692,200
693,2000
694,800
695,600
696,100
697,1000
698,600
699,200
700,400
701,500
702,800
703,2000
704,400
705,1000
706,300
707,400
708,200
709,200
710,600
711,800
712,800
713,800
714,1000
715,200
716,800
717,1000
718,600
719,100
720,400
721,300
722,300
723,2000
724,2000
725,800
726,200
727,1000
728,500
729,800
730,3000
731,500
732,2000
733,600
734,800
735,400
736,500
737,1000
738,400
739,300
740,400
741,400
742,1000
743,1000
744,1000
745,200
746,1000
747,600
748,400
749,400
750,200
751,1000
752,800
753,600
754,400
755,600
756,400
757,800
758,400
759,800
760,400
761,400
762,2000
763,600
764,200
765,600
766,400
767,200
768,2000
769,300
770,200
771,2000
772,400
773,100
774,400
775,1000
776,400
777,200
778,800
779,1000
780,800
781,400
782,200
783,400
784,400
785,2000
786,2000
787,300
788,200
789,200
790,1000
791,800
792,500
793,2000
794,300
795,2000
796,400
797,800
798,800
799,200
800,200
801,300
802,200
803,2000
804,200
805,800
806,2000
807,800
808,800
809,200
810,200
811,2000
812,400
813,1000
814,300
815,200
816,600
817,200
818,200
819,400
820,800
821,600
822,400
823,1000
824,300
825,800
826,800
827,100
828,600
829,200
830,200
831,200
832,800
833,300
834,600
835,400
836,400
837,2000
838,2000
839,200
840,1000
841,2000
842,600
843,400
844,600
845,600
846,800
847,600
848,2000
849,2000
850,1000
851,500
852,600
853,600
854,400
855,500
856,800
857,1000
858,2000
859,600
860,800
861,1000
862,600
863,400
864,500
865,800
866,200
867,500
868,2000
869,200
870,200
871,800
872,300
873,200
874,800
875,2000
876,300
877,1000
878,1000
879,300
880,100
881,100
882,400
883,200
884,200
885,2000
886,200
887,600
888,1000
889,400
890,2000
891,400
892,1000
893,500
894,100
895,400
896,2000
897,300
898,200
899,400
900,400
901,2000
902,800
903,600
904,100
905,400
906,200
907,1000
908,200
909,800
910,600
911,1000
912,2000
913,1000
914,200
915,600
916,200
917,200
918,2000
919,1000
920,800
921,400
922,1000
923,600
924,800
925,1000
926,400
927,800
928,2000
929,600
930,200
931,800
932,100
933,2000
934,600
935,400
936,400
937,800
938,800
939,800
940,200
941,100
942,600
943,1000
944,1000
945,2000
946,300
947,2000
948,2000
949,2000
950,400
951,2000
952,1000
953,800
954,3000
955,400
956,1000
957,600
958,800
959,600
960,400
961,400
962,400
963,2000
964,800
965,300
966,400
967,2000
968,2000
969,600
970,1000
971,600
972,400
973,400
974,400
975,800
976,600
977,1000
978,100
979,400
980,400
981,300
982,400
983,400
984,200
985,200
986,400
987,2000
988,2000
989,1000
990,200
991,1000
992,600
993,600
994,300
995,2000
996,600
997,1000
998,600
999,400
1000,200
1001,2000
1002,1000
1003,800
1004,600
1005,800
1006,800
1007,600
1008,800
1009,600
1010,1000
1011,800
1012,800
1013,200
1014,400
1015,400
1016,1000
1017,300
1018,2000
1019,400
1020,1000
1021,600
1022,300
1023,1000
1024,1000
1025,300
1026,500
1027,800
1028,200
1029,200
1030,800
1031,600
1032,600
1033,400
1034,500
1035,300
1036,300
1037,400
1038,1000
1039,1000
1040,600
1041,2000
1042,2000
1043,800
1044,1000
1045,200
1046,600
1047,200
1048,2000
1049,300
1050,1000
1051,200
1052,800
1053,2000
1054,600
1055,400
1056,1000
1057,2000
1058,800
1059,800
1060,3000
1061,200
1062,2000
1063,1000
1064,400
1065,200
1066,400
1067,600
1068,1000
1069,400
1070,800
1071,1000
1072,800
1073,400
1074,300
1075,100
1076,1000
1077,400
1078,300
1079,1000
1080,1000
1081,400
1082,200
1083,800
1084,600
1085,400
1086,300
1087,500
1088,2000
1089,1000
1090,1000
1091,200
1092,400
1093,800
1094,400
1095,800
1096,300
1097,800
1098,200
1099,400
1100,2000
1101,400
1102,800
1103,200
1104,1000
1105,300
1106,1000
1107,400
1108,400
1109,800
1110,400
1111,1000
1112,1000
1113,1000
1114,400
1115,200
1116,400
1117,2000
1118,2000
1119,400
1120,200
1121,1000
1122,200
1123,1000
1124,300
1125,1000
1126,2000
1127,200
1128,200
1129,400
1130,800
1131,200
1132,400
1133,400
1134,400
1135,600
1136,600
1137,5000
1138,400
1139,600
1140,800
1141,1000
1142,200
1143,800
1144,400
1145,1000
1146,1000
1147,2000
1148,400
1149,400
1150,1000
1151,800
1152,600
1153,400
1154,600
1155,2000
1156,500
1157,1000
1158,500
1159,800
1160,600
1161,2000
1162,200
1163,400
1164,200
1165,800
1166,800
1167,600
1168,200
1169,800
1170,600
1171,2000
1172,400
1173,200
1174,400
1175,2000
1176,5000
1177,800
1178,2000
1179,600
1180,1000
1181,1000
1182,600
1183,500
1184,1000
1185,1000
1186,100
1187,200
1188,1000
1189,1000
1190,600
1191,600
1192,100
1193,400
1194,800
1195,200
1196,800
1197,600
1198,1000
1199,800
1200,1000
1201,400
1202,400
1203,200
1204,800
1205,1000
1206,1000
1207,1000
1208,800
1209,4000
1210,800
1211,400
1212,300
1213,800
1214,400
1215,2000
1216,1000
1217,200
1218,100
1219,2000
1220,800
1221,1000
1222,200
1223,800
1224,400
1225,500
1226,400
1227,600
1228,200
1229,800
1230,1000
1231,600
1232,200
1233,200
1234,400
1235,600
1236,400
1237,400
1238,800
1239,200
1240,800
1241,1000
1242,400
1243,800
1244,200
1245,800
1246,1000
1247,1000
1248,200
1249,200
1250,2000
1251,6000
1252,1000
1253,2000
1254,200
1255,300
1256,400
1257,1000
1258,400
1259,800
1260,4000
1261,1000
1262,400
1263,2000
1264,800
1265,400
1266,800
1267,800
1268,200
1269,200
1270,800
1271,2000
1272,400
1273,1000
1274,4000
1275,400
1276,200
1277,400
1278,100
1279,1000
1280,600
1281,2000
1282,600
1283,400
1284,400
1285,800
1286,500
1287,500
1288,600
1289,400
1290,200
1291,600
1292,800
1293,400
1294,200
1295,2000
1296,1000
1297,100
1298,2000
1299,200
1300,800
1301,1000
1302,200
1303,200
1304,2000
1305,800
1306,600
1307,400
1308,200
1309,200
1310,400
1311,400
1312,400
1313,2000
1314,500
1315,2000
1316,400
1317,400
1318,400
1319,200
1320,800
1321,100
1322,200
1323,1000
1324,10000
1325,400
1326,200
1327,1000
1328,1000
1329,100
1330,1000
1331,400
1332,200
1333,400
1334,800
1335,600
1336,1000
1337,1000
1338,400
1339,2000
1340,2000
1341,600
1342,1000
1343,400
1344,600
1345,2000
1346,600
1347,2000
1348,500
1349,500
1350,400
1351,1000
1352,1000
1353,100
1354,200
1355,400
1356,1000
1357,500
1358,200
1359,1000
1360,400
1361,200
1362,800
1363,400
1364,300
1365,1000
1366,400
1367,400
1368,400
1369,2000
1370,600
1371,200
1372,2000
1373,400
1374,400
1375,400
1376,1000
1377,800
1378,800
1379,400
1380,400
1381,2000
1382,100
1383,500
1384,2000
1385,600
1386,1000
1387,800
1388,200
1389,800
1390,600
1391,400
1392,1000
1393,200
1394,200
1395,200
1396,600
1397,1000
1398,2000
1399,600
1400,400
1401,300
1402,800
1403,1000
1404,400
1405,100
1406,400
1407,500
1408,800
1409,800
1410,600
1411,1000
1412,2000
1413,200
1414,400
1415,800
1416,800
1417,400
1418,400
1419,2000
1420,800
1421,800
1422,1000
1423,400
1424,2000
1425,2000
1426,800
1427,800
1428,1000
1429,200
1430,100
1431,600
1432,600
1433,300
1434,2000
1435,1000
1436,2000
1437,1000
1438,800
1439,800
1440,800
1441,200
1442,1000
1443,400
1444,2000
1445,200
1446,400
1447,400
1448,2000
1449,2000
1450,200
1451,1000
1452,200
1453,400
1454,300
1455,200
1456,1000
1457,600
1458,200
1459,1000
1460,2000
1461,400
1462,800
1463,200
1464,800
1465,800
1466,400
1467,2000
1468,1000
1469,400
1470,1000
1471,1000
1472,1000
1473,400
1474,400
1475,200
1476,1000
1477,1000
1478,800
1479,400
1480,300
1481,2000
1482,400
1483,400
1484,1000
1485,100
1486,800
1487,200
1488,600
1489,1000
1490,800
1491,300
1492,800
1493,1000
1494,400
1495,400
1496,600
1497,400
1498,800
1499,400
1500,1000
1501,1000
1502,200
1503,200
1504,200
1505,400
1506,1000
1507,2000
1508,600
1509,600
1510,800
1511,600
1512,600
1513,1000
1514,200
1515,800
1516,200
1517,800
1518,1000
1519,500
1520,7000
1521,500
1522,4000
1523,600
1524,500
1525,400
1526,400
1527,400
1528,500
1529,1000
1530,200
1531,2000
1532,800
1533,100
1534,200
1535,2000
1536,5000
1537,400
1538,600
1539,600
1540,600
1541,800
1542,1000
1543,200
1544,300
1545,400
1546,800
1547,800
1548,200
1549,800
1550,200
1551,1000
1552,800
1553,2000
1554,1000
1555,1000
1556,1000
1557,2000
1558,400
1559,300
1560,300
1561,800
1562,2000
1563,800
1564,300
1565,600
1566,100
1567,400
1568,1000
1569,1000
1570,800
1571,400
1572,600
1573,800
1574,400
1575,1000
1576,400
1577,1000
1578,1000
1579,600
1580,200
1581,400
1582,400
1583,800
1584,600
1585,2000
1586,200
1587,100
1588,500
1589,2000
1590,600
1591,300
1592,1000
1593,1000
1594,2000
1595,1000
1596,600
1597,800
1598,200
1599,500
1600,1000
1601,600
1602,100
1603,500
1604,400
1605,200
1606,800
1607,200
1608,800
1609,400
1610,800
1611,2000
1612,2000
1613,400
1614,400
1615,100
1616,600
1617,1000
1618,800
1619,1000
1620,600
1621,2000
1622,400
1623,400
1624,1000
1625,2000
1626,1000
1627,200
1628,800
1629,600
1630,2000
1631,600
1632,400
1633,400
1634,4000
1635,600
1636,400
1637,600
1638,1000
1639,500
1640,1000
1641,1000
1642,400
1643,3000
1644,200
1645,800
1646,800
1647,200
1648,2000
1649,100
1650,300
1651,800
1652,400
1653,1000
1654,800
1655,800
1656,400
1657,400
1658,1000
1659,200
1660,800
1661,1000
1662,200
1663,1000
1664,200
1665,200
1666,600
1667,400
1668,1000
1669,800
1670,200
1671,800
1672,400
1673,400
1674,800
1675,800
1676,1000
1677,1000
1678,400
1679,1000
1680,600
1681,400
1682,1000
1683,2000
1684,500
1685,800
1686,400
1687,400
1688,100
1689,2000
1690,400
1691,600
1692,1000
1693,600
1694,200
1695,600
1696,400
1697,200
1698,400
1699,1000
1700,600
1701,800
1702,200
1703,600
1704,200
1705,400
1706,500
1707,1000
1708,800
1709,800
1710,2000
1711,400
1712,400
1713,600
1714,200
1715,400
1716,2000
1717,600
1718,400
1719,800
1720,1000
1721,200
1722,600
1723,400
1724,1000
1725,400
1726,200
1727,1000
1728,800
1729,600
1730,400
1731,1000
1732,2000
1733,200
1734,500
1735,600
1736,600
1737,2000
1738,400
1739,100
1740,2000
1741,400
1742,500
1743,200
1744,1000
1745,800
1746,200
1747,1000
1748,2000
1749,200
1750,2000
1751,1000
1752,400
1753,200
1754,800
1755,800
1756,200
1757,100
1758,400
1759,800
1760,600
1761,2000
1762,800
1763,400
1764,400
1765,500
1766,2000
1767,400
1768,200
1769,400
1770,2000
1771,600
1772,700
1773,800
1774,300
1775,2000
1776,1000
1777,400
1778,200
1779,600
1780,1000
1781,1000
1782,2000
1783,800
1784,200
1785,800
1786,500
1787,200
1788,600
1789,800
1790,1000
1791,1000
1792,200
1793,400
1794,200
1795,200
1796,200
1797,400
1798,800
1799,200
1800,300
1801,800
1802,2000
1803,2000
1804,400
1805,800
1806,600
1807,400
1808,400
1809,200
1810,1000
1811,400
1812,100
1813,300
1814,400
1815,400
1816,800
1817,800
1818,300
1819,400
1820,400
1821,400
1822,400
1823,2000
1824,100
1825,400
1826,1000
1827,600
1828,300
1829,400
1830,800
1831,800
1832,1000
1833,300
1834,400
1835,800
1836,1000
1837,800
1838,100
1839,1000
1840,500
1841,200
1842,400
1843,2000
1844,2000
1845,800
1846,2000
1847,100
1848,400
1849,400
1850,1000
1851,200
1852,1000
1853,6000
1854,400
1855,800
1856,1000
1857,800
1858,2000
1859,2000
1860,800
1861,400
1862,300
1863,300
1864,400
1865,500
1866,800
1867,800
1868,400
1869,1000
1870,2000
1871,600
1872,400
1873,400
1874,600
1875,1000
1876,200
1877,400
1878,800
1879,400
1880,800
1881,400
1882,2000
1883,600
1884,1000
1885,1000
1886,400
1887,1000
1888,400
1889,600
1890,600
1891,400
1892,400
1893,200
1894,2000
1895,800
1896,200
1897,300
1898,200
1899,200
1900,800
1901,1000
1902,800
1903,2000
1904,800
1905,200
1906,4000
1907,2000
1908,800
1909,1000
1910,200
1911,100
1912,800
1913,500
1914,400
1915,500
1916,2000
1917,200
1918,1000
1919,800
1920,500
1921,600
1922,400
1923,400
1924,1000
1925,2000
1926,1000
1927,600
1928,800
1929,200
1930,400
1931,800
1932,10000
1933,200
1934,800
1935,2000
1936,300
1937,200
1938,800
1939,800
1940,400
1941,600
1942,200
1943,300
1944,5000
1945,800
1946,400
1947,1000
1948,200
1949,200
1950,1000
1951,300
1952,200
1953,200
1954,1000
1955,200
1956,200
1957,2000
1958,800
1959,400
1960,1000
1961,200
1962,100
1963,400
1964,400
1965,1000
1966,300
1967,400
1968,200
1969,800
1970,100
1971,800
1972,500
1973,400
1974,1000
1975,300
1976,800
1977,800
1978,1000
1979,800
1980,200
1981,600
1982,200
1983,1000
1984,400
1985,800
1986,800
1987,400
1988,1000
1989,200
1990,1000
1991,800
1992,1000
1993,800
1994,600
1995,600
1996,200
1997,2000
1998,400
1999,300
2000,1000
2001,300
2002,800
2003,200
2004,2000
2005,400
2006,1000
2007,200
2008,800
2009,1000
2010,800
2011,500
2012,400
2013,400
2014,500
2015,300
2016,2000
2017,400
2018,600
2019,1000
2020,1000
2021,1000
2022,1000
2023,400
2024,600
2025,400
2026,600
2027,100
2028,200
2029,1000
2030,200
2031,500
2032,1000
2033,2000
2034,300
2035,3000
2036,2000
2037,300
2038,600
2039,200
2040,2000
2041,1000
2042,2000
2043,2000
2044,500
2045,1000
2046,600
2047,600
2048,2000
2049,600
2050,600
2051,2000
2052,800
2053,2000
2054,600
2055,600
2056,200
2057,300
2058,1000
2059,400
2060,2000
2061,800
2062,400
2063,400
2064,200
2065,600
2066,1000
2067,4000
2068,600
2069,2000
2070,800
2071,2000
2072,500
2073,400
2074,600
2075,400
2076,200
2077,2000
2078,2000
2079,600
2080,800
2081,200
2082,1000
2083,800
2084,500
2085,400
2086,200
2087,800
2088,600
2089,1000
2090,2000
2091,1000
2092,400
2093,300
2094,2000
2095,1000
2096,400
2097,2000
2098,200
2099,800
2100,100
2101,2000
2102,1000
2103,200
2104,400
2105,400
2106,600
2107,1000
2108,200
2109,200
2110,600
2111,1000
2112,400
2113,200
2114,2000
2115,2000
2116,100
2117,200
2118,2000
2119,400
2120,400
2121,800
2122,2000
2123,800
2124,500
2125,1000
2126,400
2127,2000
2128,800
2129,500
2130,400
2131,800
2132,600
2133,600
2134,100
2135,2000
2136,600
2137,300
2138,400
2139,400
2140,2000
2141,2000
2142,600
2143,2000
2144,2000
2145,600
2146,500
2147,400
2148,2000
2149,500
2150,800
2151,2000
2152,300
2153,200
2154,2000
2155,400
2156,100
2157,100
2158,200
2159,100
2160,200
2161,200
2162,1000
2163,200
2164,400
2165,200
2166,400
2167,400
2168,800
2169,400
2170,200
2171,200
2172,400
2173,1000
2174,600
2175,200
2176,1000
2177,1000
2178,600
2179,1000
2180,800
2181,2000
2182,800
2183,200
2184,600
2185,400
2186,2000
2187,400
2188,300
2189,400
2190,600
2191,900
2192,1000
2193,800
2194,100
2195,400
2196,800
2197,600
2198,4000
2199,1000
2200,200
2201,400
2202,600
2203,2000
2204,1000
2205,400
2206,800
2207,300
2208,800
2209,400
2210,1000
2211,1000
2212,200
2213,300
2214,1000
2215,100
2216,1000
2217,400
2218,600
2219,800
2220,800
2221,800
2222,800
2223,2000
2224,2000
2225,800
2226,800
2227,2000
2228,400
2229,300
2230,800
2231,400
2232,400
2233,500
2234,400
2235,600
2236,2000
2237,700
2238,600
2239,1000
2240,800
2241,1000
2242,1000
2243,600
2244,500
2245,100
2246,1000
2247,200
2248,2000
2249,600
2250,800
2251,300
2252,2000
2253,3000
2254,600
2255,400
2256,400
2257,1000
2258,1000
2259,600
2260,500
2261,2000
2262,200
2263,1000
2264,300
2265,1000
2266,600
2267,500
2268,1000
2269,400
2270,300
2271,400
2272,200
2273,300
2274,1000
2275,500
2276,400
2277,2000
2278,800
2279,1000
2280,200
2281,200
2282,300
2283,200
2284,200
2285,600
2286,1000
2287,200
2288,400
2289,400
2290,500
2291,200
2292,1000
2293,400
2294,1000
2295,800
2296,400
2297,400
2298,1000
2299,2000
2300,600
2301,400
2302,1000
2303,2000
2304,2000
2305,600
2306,1000
2307,800
2308,100
2309,1000
2310,800
2311,800
2312,2000
2313,800
2314,500
2315,300
2316,600
2317,1000
2318,500
2319,2000
2320,800
2321,200
2322,800
2323,400
2324,800
2325,200
2326,200
2327,400
2328,400
2329,1000
2330,300
2331,200
2332,2000
2333,800
2334,800
2335,200
2336,200
2337,400
2338,2000
2339,2000
2340,1000
2341,1000
2342,2000
2343,200
2344,400
2345,200
2346,1000
2347,600
2348,200
2349,1000
2350,300
2351,600
2352,800
2353,800
2354,400
2355,200
2356,500
2357,200
2358,1000
2359,2000
2360,2000
2361,800
2362,400
2363,1000
2364,1000
2365,1000
2366,200
2367,400
2368,2000
2369,600
2370,400
2371,800
2372,400
2373,400
2374,300
2375,300
2376,800
2377,2000
2378,2000
2379,1000
2380,1000
2381,2000
2382,600
2383,400
2384,800
2385,600
2386,800
2387,500
2388,400
2389,2000
2390,800
2391,400
2392,1000
2393,200
2394,2000
2395,2000
2396,400
2397,1000
2398,1000
2399,600
2400,600
2401,200
2402,1000
2403,800
2404,400
2405,200
2406,500
2407,600
2408,800
2409,100
2410,100
2411,2000
2412,600
2413,2000
2414,400
2415,2000
2416,600
2417,500
2418,200
2419,600
2420,400
2421,200
2422,1000
2423,800
2424,2000
2425,400
2426,100
2427,800
2428,200
2429,2000
2430,400
2431,200
2432,500
2433,400
2434,400
2435,600
2436,1000
2437,1000
2438,200
2439,800
2440,600
2441,800
2442,1000
2443,1000
2444,600
2445,2000
2446,2000
2447,800
2448,600
2449,800
2450,800
2451,300
2452,200
2453,800
2454,200
2455,300
2456,200
2457,1000
2458,400
2459,400
2460,600
2461,400
2462,1000
2463,600
2464,400
2465,300
2466,200
2467,400
2468,400
2469,200
2470,400
2471,200
2472,400
2473,2000
2474,400
2475,2000
2476,1000
2477,400
2478,300
2479,400
2480,1000
2481,400
2482,100
2483,600
2484,800
2485,400
2486,600
2487,800
2488,800
2489,100
2490,600
2491,1000
2492,400
2493,1000
2494,800
2495,200
2496,500
2497,100
2498,400
2499,400
2500,400
2501,2000
2502,200
2503,400
2504,2000
2505,1000
2506,800
2507,500
2508,500
2509,1000
2510,1000
2511,200
2512,2000
2513,200
2514,800
2515,400
2516,400
2517,1000
2518,200
2519,1000
2520,2000
2521,600
2522,400
2523,400
2524,200
2525,1000
2526,600
2527,400
2528,1000
2529,2000
2530,400
2531,600
2532,400
2533,1000
2534,800
2535,2000
2536,2000
2537,300
2538,600
2539,400
2540,800
2541,2000
2542,1000
2543,800
2544,100
2545,600
2546,300
2547,300
2548,300
2549,200
2550,800
2551,600
2552,200
2553,1000
2554,2000
2555,200
2556,600
2557,1000
2558,200
2559,500
2560,400
2561,400
2562,200
2563,600
2564,1000
2565,2000
2566,1000
2567,800
2568,800
2569,200
2570,1000
2571,200
2572,400
2573,100
2574,200
2575,600
2576,300
2577,600
2578,500
2579,600
2580,100
2581,2000
2582,800
2583,400
2584,800
2585,1000
2586,2000
2587,1000
2588,1000
2589,1000
2590,500
2591,800
2592,1000
2593,400
2594,800
2595,2000
2596,800
2597,1000
2598,1000
2599,200
2600,800
2601,400
2602,800
2603,1000
2604,400
2605,100
2606,800
2607,200
2608,100
2609,200
2610,1000
2611,100
2612,2000
2613,400
2614,1000
2615,200
2616,2000
2617,400
2618,400
2619,200
2620,800
2621,400
2622,300
2623,1000
2624,2000
2625,200
2626,1000
2627,800
2628,400
2629,400
2630,800
2631,100
2632,400
2633,2000
2634,500
2635,800
2636,200
2637,600
2638,400
2639,800
2640,800
2641,400
2642,2000
2643,400
2644,800
2645,400
2646,800
2647,800
2648,2000
2649,1000
2650,2000
2651,500
2652,2000
2653,100
2654,1000
2655,2000
2656,800
2657,200
2658,500
2659,600
2660,600
2661,600
2662,1000
2663,2000
2664,1000
2665,1000
2666,300
2667,800
2668,400
2669,500
2670,500
2671,600
2672,600
2673,800
2674,600
2675,2000
2676,600
2677,2000
2678,2000
2679,200
2680,2000
2681,800
2682,400
2683,1000
2684,100
2685,2000
2686,800
2687,400
2688,200
2689,800
2690,3000
2691,500
2692,400
2693,800
2694,400
2695,3000
2696,200
2697,600
2698,600
2699,1000
2700,500
2701,200
2702,200
2703,400
2704,100
2705,1000
2706,200
2707,800
2708,1000
2709,2000
2710,400
2711,400
2712,1000
2713,800
2714,2000
2715,400
2716,400
2717,400
2718,600
2719,2000
2720,400
2721,200
2722,500
2723,300
2724,1000
2725,800
2726,200
2727,100
2728,1000
2729,400
2730,400
2731,1000
2732,2000
2733,1000
2734,1000
2735,500
2736,1000
2737,3000
2738,400
2739,1000
2740,100
2741,2000
2742,400
2743,500
2744,400
2745,200
2746,1000
2747,200
2748,3000
2749,400
2750,200
2751,200
2752,400
2753,800
2754,800
2755,1000
2756,2000
2757,1000
2758,800
2759,800
2760,200
2761,600
2762,800
2763,5000
2764,2000
2765,600
2766,800
2767,800
2768,200
2769,500
2770,800
2771,200
2772,1000
2773,800
2774,200
2775,600
2776,2000
2777,1000
2778,2000
2779,200
2780,300
2781,800
2782,2000
2783,400
2784,800
2785,2000
2786,200
2787,100
2788,800
2789,400
2790,500
2791,600
2792,2000
2793,1000
2794,400
2795,2000
2796,400
2797,1000
2798,100
2799,1000
2800,200
2801,2000
2802,100
2803,200
2804,400
2805,2000
2806,1000
2807,400
2808,1000
2809,1000
2810,100
2811,800
2812,2000
2813,2000
2814,800
2815,800
2816,1000
2817,400
2818,300
2819,200
2820,400
2821,100
2822,200
2823,400
2824,400
2825,200
2826,2000
2827,2000
2828,800
2829,1000
